payer_type,cpt_code,requires_prior_auth,auth_lead_time_days,historical_denial_rate,avg_payment_turnaround_days,timely_filing_limit_days
Medicare_FFS,99396,FALSE,0,0.127,39,180
Medicare_FFS,43235,FALSE,0,0.095,28,180
Medicare_FFS,96413,TRUE,14,0.163,39,365
Medicare_FFS,H0001,FALSE,0,0.127,17,180
Medicare_FFS,70553,TRUE,7,0.165,40,180
Medicare_FFS,71046,FALSE,0,0.062,14,365
Medicare_FFS,64483,TRUE,5,0.2,34,90
Medicare_FFS,97110,FALSE,0,0.087,23,90
Medicare_FFS,99285,FALSE,0,0.071,43,90
Medicare_FFS,99215,FALSE,0,0.068,26,365
Medicare_FFS,78452,FALSE,0,0.09,21,365
Medicare_FFS,97140,FALSE,0,0.091,25,180
Medicare_FFS,99391,FALSE,0,0.117,29,90
Medicare_FFS,29827,TRUE,7,0.149,37,180
Medicare_FFS,90834,FALSE,0,0.081,45,365
Medicare_FFS,90837,FALSE,0,0.088,32,180
Medicare_FFS,72148,TRUE,7,0.125,19,90
Medicare_FFS,74177,TRUE,10,0.188,25,365
Medicare_FFS,95819,TRUE,5,0.169,35,365
Medicare_FFS,31623,TRUE,14,0.137,35,90
Medicare_FFS,59400,TRUE,14,0.184,34,365
Medicare_FFS,93454,TRUE,3,0.145,22,180
Medicare_FFS,29881,FALSE,0,0.077,37,180
Medicare_FFS,38220,TRUE,10,0.122,38,365
Medicare_FFS,95886,FALSE,0,0.105,38,180
Medicare_FFS,77301,TRUE,7,0.124,26,180
Medicare_FFS,94726,FALSE,0,0.092,45,180
Medicare_FFS,45380,FALSE,0,0.119,43,180
Medicare_FFS,99284,FALSE,0,0.085,25,365
Medicare_FFS,99283,FALSE,0,0.095,20,365
Medicare_FFS,97530,FALSE,0,0.093,37,365
Medicare_FFS,99214,FALSE,0,0.073,40,180
Medicare_FFS,76805,FALSE,0,0.112,40,90
Medicare_FFS,93280,FALSE,0,0.126,43,180
Medicare_FFS,99233,FALSE,0,0.093,15,90
Medicare_FFS,27447,TRUE,14,0.18,34,180
Medicare_FFS,45378,FALSE,0,0.083,45,180
Medicare_FFS,97035,FALSE,0,0.067,20,180
Medicare_FFS,93000,FALSE,0,0.068,40,180
Medicare_FFS,20610,FALSE,0,0.068,34,180
Medicare_FFS,99213,FALSE,0,0.065,20,180
Medicare_FFS,99291,FALSE,0,0.089,36,365
Medicare_FFS,99232,FALSE,0,0.082,24,365
Medicare_FFS,90791,FALSE,0,0.079,19,90
Medicare_FFS,43239,FALSE,0,0.069,26,180
Medicare_FFS,58150,TRUE,14,0.134,25,90
Medicare_FFS,97012,FALSE,0,0.088,24,180
